timestamp_utc,DE-LU,FR,spread_de_minus_fr_eur_mwh,timestamp_cet
2024-11-30 23:00:00+00:00,99.66,99.66,0.0,2024-12-01 00:00:00+01:00
2024-12-01 00:00:00+00:00,90.01,90.01,0.0,2024-12-01 01:00:00+01:00
2024-12-01 01:00:00+00:00,88.14,88.14,0.0,2024-12-01 02:00:00+01:00
2024-12-01 02:00:00+00:00,85.7,85.7,0.0,2024-12-01 03:00:00+01:00
2024-12-01 03:00:00+00:00,84.8,81.1,3.700000000000003,2024-12-01 04:00:00+01:00
2024-12-01 04:00:00+00:00,85.31,74.68,10.629999999999995,2024-12-01 05:00:00+01:00
2024-12-01 05:00:00+00:00,84.43,76.05,8.38000000000001,2024-12-01 06:00:00+01:00
2024-12-01 06:00:00+00:00,89.97,86.77,3.200000000000003,2024-12-01 07:00:00+01:00
2024-12-01 07:00:00+00:00,99.64,96.49,3.1500000000000057,2024-12-01 08:00:00+01:00
2024-12-01 08:00:00+00:00,94.6,94.6,0.0,2024-12-01 09:00:00+01:00
2024-12-01 09:00:00+00:00,89.3,89.3,0.0,2024-12-01 10:00:00+01:00
2024-12-01 10:00:00+00:00,82.38,82.38,0.0,2024-12-01 11:00:00+01:00
2024-12-01 11:00:00+00:00,85.25,85.25,0.0,2024-12-01 12:00:00+01:00
2024-12-01 12:00:00+00:00,83.08,83.08,0.0,2024-12-01 13:00:00+01:00
2024-12-01 13:00:00+00:00,90.61,75.77,14.840000000000003,2024-12-01 14:00:00+01:00
2024-12-01 14:00:00+00:00,108.62,85.47,23.150000000000006,2024-12-01 15:00:00+01:00
2024-12-01 15:00:00+00:00,121.53,94.98,26.549999999999997,2024-12-01 16:00:00+01:00
2024-12-01 16:00:00+00:00,117.77,116.91,0.8599999999999994,2024-12-01 17:00:00+01:00
2024-12-01 17:00:00+00:00,121.51,124.76,-3.25,2024-12-01 18:00:00+01:00
2024-12-01 18:00:00+00:00,110.23,115.93,-5.700000000000003,2024-12-01 19:00:00+01:00
2024-12-01 19:00:00+00:00,91.35,97.6,-6.25,2024-12-01 20:00:00+01:00
2024-12-01 20:00:00+00:00,84.36,88.84,-4.480000000000004,2024-12-01 21:00:00+01:00
2024-12-01 21:00:00+00:00,96.98,98.17,-1.1899999999999977,2024-12-01 22:00:00+01:00
2024-12-01 22:00:00+00:00,85.0,85.0,0.0,2024-12-01 23:00:00+01:00
2024-12-01 23:00:00+00:00,74.77,76.45,-1.6800000000000068,2024-12-02 00:00:00+01:00
2024-12-02 00:00:00+00:00,65.78,67.84,-2.0600000000000023,2024-12-02 01:00:00+01:00
2024-12-02 01:00:00+00:00,61.17,63.08,-1.9099999999999966,2024-12-02 02:00:00+01:00
2024-12-02 02:00:00+00:00,46.44,45.53,0.9099999999999966,2024-12-02 03:00:00+01:00
