zone,baseline,metric,event_value,baseline_median,baseline_hours,share_baseline_at_or_below_event_pct
DE-LU,other_december_hours,price_eur_mwh,936.28,98.48,743,100.0
DE-LU,other_december_hours,demand_mw,68037.75,54486.5,743,86.94481830417227
DE-LU,other_december_hours,wind_mw,1343.0,21716.75,743,4.5760430686406455
DE-LU,other_december_hours,solar_mw,27.75,9.0,743,62.314939434724096
DE-LU,other_december_hours,residual_load_mw,66667.0,32150.0,743,99.46164199192464
DE-LU,other_december_17h_weekdays,price_eur_mwh,936.28,120.57,21,100.0
DE-LU,other_december_17h_weekdays,demand_mw,68037.75,66968.5,21,61.904761904761905
DE-LU,other_december_17h_weekdays,wind_mw,1343.0,20491.75,21,4.761904761904762
DE-LU,other_december_17h_weekdays,solar_mw,27.75,14.75,21,90.47619047619048
DE-LU,other_december_17h_weekdays,residual_load_mw,66667.0,40740.0,21,95.23809523809523
FR,other_december_hours,price_eur_mwh,275.0,103.18,743,99.59623149394348
FR,other_december_hours,demand_mw,70486.0,62411.5,743,90.71332436069987
FR,other_december_hours,wind_mw,2370.5,5721.5,743,27.456258411843876
FR,other_december_hours,solar_mw,191.5,0.0,743,64.6029609690444
FR,other_december_hours,residual_load_mw,67924.0,54118.0,743,96.5006729475101
FR,other_december_17h_weekdays,price_eur_mwh,275.0,129.38,21,95.23809523809523
FR,other_december_17h_weekdays,demand_mw,70486.0,64140.0,21,95.23809523809523
FR,other_december_17h_weekdays,wind_mw,2370.5,5352.0,21,28.57142857142857
FR,other_december_17h_weekdays,solar_mw,191.5,193.5,21,47.61904761904761
FR,other_december_17h_weekdays,residual_load_mw,67924.0,56542.5,21,95.23809523809523
