zone,timestamp_utc,timestamp_cet,price_eur_mwh,demand_mw,wind_mw,solar_mw,residual_load_mw,spread_de_minus_fr_eur_mwh
DE-LU,2024-12-12 16:00:00+00:00,2024-12-12 17:00:00+01:00,936.28,68037.75,1343.0,27.75,66667.0,661.28
DE-LU,2024-12-12 15:00:00+00:00,2024-12-12 16:00:00+01:00,818.98,67272.25,1129.0,40.0,66103.25,598.98
DE-LU,2024-12-12 17:00:00+00:00,2024-12-12 18:00:00+01:00,674.18,67188.75,1468.0,17.5,65703.25,397.17999999999995
DE-LU,2024-12-12 14:00:00+00:00,2024-12-12 15:00:00+01:00,668.49,66739.25,899.0,505.0,65335.25,508.09000000000003
DE-LU,2024-12-12 07:00:00+00:00,2024-12-12 08:00:00+01:00,655.6,67610.5,875.5,164.0,66571.0,405.64
DE-LU,2024-12-12 08:00:00+00:00,2024-12-12 09:00:00+01:00,646.76,67704.25,698.25,1081.0,65925.0,431.76
DE-LU,2024-12-12 06:00:00+00:00,2024-12-12 07:00:00+01:00,599.99,64586.5,1033.75,7.0,63545.75,412.03
DE-LU,2024-12-12 18:00:00+00:00,2024-12-12 19:00:00+01:00,551.01,65436.75,1517.0,11.75,63908.0,290.03
DE-LU,2024-12-12 09:00:00+00:00,2024-12-12 10:00:00+01:00,543.83,68269.75,555.25,2292.5,65422.0,376.88000000000005
DE-LU,2024-12-12 13:00:00+00:00,2024-12-12 14:00:00+01:00,490.34,67047.25,643.25,1776.0,64628.0,335.84
DE-LU,2024-12-12 10:00:00+00:00,2024-12-12 11:00:00+01:00,465.36,68612.5,414.0,3114.5,65084.0,286.36
DE-LU,2024-12-11 16:00:00+00:00,2024-12-11 17:00:00+01:00,445.08,69951.25,2680.0,20.25,67251.0,171.07999999999998
DE-LU,2024-12-11 15:00:00+00:00,2024-12-11 16:00:00+01:00,437.87,69291.75,2613.0,28.0,66650.75,199.93
DE-LU,2024-12-12 12:00:00+00:00,2024-12-12 13:00:00+01:00,415.3,67905.5,550.5,2927.5,64427.5,260.8
DE-LU,2024-12-12 11:00:00+00:00,2024-12-12 12:00:00+01:00,404.99,68249.75,411.75,3397.5,64440.5,237.60000000000002
DE-LU,2024-12-11 12:00:00+00:00,2024-12-11 13:00:00+01:00,404.91,69663.75,2204.25,2346.75,65112.75,266.26
DE-LU,2024-12-11 11:00:00+00:00,2024-12-11 12:00:00+01:00,385.87,70264.5,1779.0,2814.25,65671.25,235.88
DE-LU,2024-12-11 14:00:00+00:00,2024-12-11 15:00:00+01:00,380.94,68638.0,2561.5,362.75,65713.75,195.9
DE-LU,2024-12-11 10:00:00+00:00,2024-12-11 11:00:00+01:00,379.99,70444.25,1533.25,2730.25,66180.75,232.16
DE-LU,2024-12-11 08:00:00+00:00,2024-12-11 09:00:00+01:00,377.12,69714.0,1757.0,1001.75,66955.25,158.70000000000002
FR,2024-12-13 16:00:00+00:00,2024-12-13 17:00:00+01:00,284.21,71241.0,640.5,141.5,70459.0,0.0
FR,2024-12-12 17:00:00+00:00,2024-12-12 18:00:00+01:00,277.0,73895.5,2907.0,0.0,70988.5,397.17999999999995
FR,2024-12-11 17:00:00+00:00,2024-12-11 18:00:00+01:00,276.0,73261.0,5502.5,0.0,67758.5,83.92000000000002
FR,2024-12-12 16:00:00+00:00,2024-12-12 17:00:00+01:00,275.0,70486.0,2370.5,191.5,67924.0,661.28
FR,2024-12-11 16:00:00+00:00,2024-12-11 17:00:00+01:00,274.0,70310.5,5058.0,146.5,65106.0,171.07999999999998
FR,2024-12-12 18:00:00+00:00,2024-12-12 19:00:00+01:00,260.98,76219.5,3331.5,0.0,72888.0,290.03
FR,2024-12-13 17:00:00+00:00,2024-12-13 18:00:00+01:00,260.0,74193.5,692.0,0.0,73501.5,0.0
FR,2024-12-11 18:00:00+00:00,2024-12-11 19:00:00+01:00,255.0,75342.5,5801.5,0.0,69541.0,86.25
FR,2024-12-13 07:00:00+00:00,2024-12-13 08:00:00+01:00,253.0,74746.5,3035.0,3.5,71708.0,0.0
FR,2024-12-12 07:00:00+00:00,2024-12-12 08:00:00+01:00,249.96,74126.0,3189.0,16.0,70921.0,405.64
FR,2024-12-13 08:00:00+00:00,2024-12-13 09:00:00+01:00,245.74,76038.5,2705.0,398.0,72935.5,0.0
FR,2024-12-13 15:00:00+00:00,2024-12-13 16:00:00+01:00,241.91,70483.0,574.5,1132.0,68776.5,8.150000000000006
FR,2024-12-11 15:00:00+00:00,2024-12-11 16:00:00+01:00,237.94,69524.0,4692.5,1289.0,63542.5,199.93
FR,2024-12-13 18:00:00+00:00,2024-12-13 19:00:00+01:00,225.6,75205.0,709.5,0.0,74495.5,0.0
FR,2024-12-12 15:00:00+00:00,2024-12-12 16:00:00+01:00,220.0,69267.0,2032.0,1870.0,65365.0,598.98
FR,2024-12-04 16:00:00+00:00,2024-12-04 17:00:00+01:00,219.09,65237.5,3139.5,237.5,61860.5,68.66999999999999
FR,2024-12-11 08:00:00+00:00,2024-12-11 09:00:00+01:00,218.42,72582.0,5487.0,410.5,66684.5,158.70000000000002
FR,2024-12-12 08:00:00+00:00,2024-12-12 09:00:00+01:00,215.0,75313.5,3125.5,813.5,71374.5,431.76
FR,2024-12-13 14:00:00+00:00,2024-12-13 15:00:00+01:00,210.0,71910.5,650.5,2673.0,68587.0,10.77000000000001
FR,2024-12-13 09:00:00+00:00,2024-12-13 10:00:00+01:00,208.42,76589.5,2242.5,1690.5,72656.5,0.0
